Method,Path,Channel,Client,Router file,Service method,Repository method,Permission,Auth required,Status
GET,/api/v1/admin/audit-logs,ADMIN,ADMIN_WEB,app/modules/audit_logs/router.py,inline router logic,AsyncSession,audit_logs.view,yes,IMPLEMENTED
GET,/api/v1/admin/audit-logs/{audit_log_id},ADMIN,ADMIN_WEB,app/modules/audit_logs/router.py,inline router logic,AsyncSession,audit_logs.view,yes,IMPLEMENTED
POST,/api/v1/admin/auth/logout,ADMIN,ADMIN_WEB,app/modules/authentication/channel_router.py,AuthenticationService.logout,"AuthenticationRepository, OTPService, UserRoleRepository",none,unclear,"IMPLEMENTED,INTENTIONAL_CHANNEL_ROUTE"
POST,/api/v1/admin/auth/logout-all,ADMIN,ADMIN_WEB,app/modules/authentication/channel_router.py,AuthenticationService.logout_all + me,"AuthenticationRepository, OTPService, UserRoleRepository",none,yes,"IMPLEMENTED,INTENTIONAL_CHANNEL_ROUTE"
GET,/api/v1/admin/auth/me,ADMIN,ADMIN_WEB,app/modules/authentication/channel_router.py,AuthenticationService.me,"AuthenticationRepository, OTPService, UserRoleRepository",none,yes,"IMPLEMENTED,INTENTIONAL_CHANNEL_ROUTE"
POST,/api/v1/admin/auth/otp/request,ADMIN,ADMIN_WEB,app/modules/authentication/channel_router.py,AuthenticationService.request_otp,"AuthenticationRepository, OTPService, UserRoleRepository",none,no,"IMPLEMENTED,INTENTIONAL_CHANNEL_ROUTE"
POST,/api/v1/admin/auth/otp/resend,ADMIN,ADMIN_WEB,app/modules/authentication/channel_router.py,AuthenticationService.request_otp,"AuthenticationRepository, OTPService, UserRoleRepository",none,no,"IMPLEMENTED,INTENTIONAL_CHANNEL_ROUTE"
POST,/api/v1/admin/auth/otp/verify,ADMIN,ADMIN_WEB,app/modules/authentication/channel_router.py,AuthenticationService.verify_otp,"AuthenticationRepository, OTPService, UserRoleRepository",none,no,"IMPLEMENTED,INTENTIONAL_CHANNEL_ROUTE"
POST,/api/v1/admin/auth/token/refresh,ADMIN,ADMIN_WEB,app/modules/authentication/channel_router.py,AuthenticationService.refresh_token,"AuthenticationRepository, OTPService, UserRoleRepository",none,unclear,"IMPLEMENTED,INTENTIONAL_CHANNEL_ROUTE"
GET,/api/v1/admin/dashboard/summary,ADMIN,ADMIN_WEB,app/modules/dashboard/router.py,inline router logic,AsyncSession,dashboard.view,yes,IMPLEMENTED
GET,/api/v1/admin/merchants,ADMIN,ADMIN_WEB,app/main.py,inline router logic,AsyncSession,none,yes,IMPLEMENTED
POST,/api/v1/admin/merchants,ADMIN,ADMIN_WEB,app/main.py,inline router logic,AsyncSession,none,yes,IMPLEMENTED
GET,/api/v1/admin/merchants/{merchant_id},ADMIN,ADMIN_WEB,app/main.py,inline router logic,AsyncSession,none,yes,IMPLEMENTED
PATCH,/api/v1/admin/merchants/{merchant_id},ADMIN,ADMIN_WEB,app/main.py,inline router logic,AsyncSession,none,yes,IMPLEMENTED
POST,/api/v1/admin/merchants/{merchant_id}/activate,ADMIN,ADMIN_WEB,app/main.py,inline router logic,AsyncSession,none,yes,IMPLEMENTED
POST,/api/v1/admin/merchants/{merchant_id}/block,ADMIN,ADMIN_WEB,app/main.py,inline router logic,AsyncSession,none,yes,IMPLEMENTED
POST,/api/v1/admin/merchants/{merchant_id}/unblock,ADMIN,ADMIN_WEB,app/main.py,inline router logic,AsyncSession,none,yes,IMPLEMENTED
GET,/api/v1/admin/merchants/{merchant_id}/users,ADMIN,ADMIN_WEB,app/modules/users/router.py,inline router logic,"AsyncSession, UserRoleRepository",users.*,yes,IMPLEMENTED
POST,/api/v1/admin/merchants/{merchant_id}/users,ADMIN,ADMIN_WEB,app/modules/users/router.py,inline router logic,"AsyncSession, UserRoleRepository",users.*,yes,IMPLEMENTED
GET,/api/v1/admin/merchants/{merchant_id}/users/{user_id},ADMIN,ADMIN_WEB,app/modules/users/router.py,inline router logic,"AsyncSession, UserRoleRepository",users.*,yes,IMPLEMENTED
PATCH,/api/v1/admin/merchants/{merchant_id}/users/{user_id},ADMIN,ADMIN_WEB,app/modules/users/router.py,inline router logic,"AsyncSession, UserRoleRepository",users.*,yes,IMPLEMENTED
GET,/api/v1/admin/permissions,ADMIN,ADMIN_WEB,app/modules/permissions/router.py,PermissionService/inline router logic,PermissionRepository,permissions.*,yes,IMPLEMENTED
GET,/api/v1/admin/permissions/grouped,ADMIN,ADMIN_WEB,app/modules/permissions/router.py,PermissionService/inline router logic,PermissionRepository,permissions.*,yes,IMPLEMENTED
